광진구,중곡제4동,1121577000,1121510100,31966,31842,32041,31786,31618,31159,30516,29815,28954,28405,28006,yes,중곡,0
광진구,능동,1121578000,1121510200,11331,11470,11712,11648,11838,11891,11978,11913,11619,11561,11496,yes,군자,0
광진구,구의제1동,1121585000,1121510300,23226,23290,23510,23387,23396,23282,23063,22700,22139,24049,23833,yes,구의,0
광진구,구의제2동,1121586000,1121510300,27787,26479,25879,25889,25936,27974,27902,27444,27008,26573,26230,yes,구의,0
광진구,구의제3동,1121587000,1121510300,29808,29997,30067,29789,30483,30476,30094,29588,28891,28440,28072,yes,구의,0
광진구,광장동,1121581000,1121510400,37493,37159,36917,36613,36589,36309,36083,35619,34834,34362,34210,yes,광나루,0
광진구,자양제1동,1121582000,1121510500,25374,24459,24151,23951,24450,24476,24156,23710,23134,22709,22745,yes,뚝섬유원지,0
광진구,자양제2동,1121583000,1121510500,28596,28520,27877,27532,27727,27435,26893,26016,24930,24253,23949,yes,뚝섬유원지,0
광진구,자양제3동,1121584000,1121510500,31929,31436,31227,30555,30517,30132,29475,28957,28330,27858,27543,yes,뚝섬유원지,0
광진구,자양제4동,1121584700,1121510500,28480,28509,28033,27232,25995,24054,23000,21526,21296,21260,23405,yes,뚝섬유원지,0
동대문구,전농제1동,1123056000,1123010400,33027,31997,31254,30779,29916,30988,31075,30722,29699,29220,32897,yes,청량리,2
동대문구,전농제2동,1123057000,1123010400,21593,21387,21234,20793,20436,20351,19990,19449,18876,18629,18432,yes,청량리,2
동대문구,답십리제1동,1123060000,1123010500,20294,25989,26582,24846,25166,29492,29783,29511,29373,28530,28284,no,-1,-1
동대문구,답십리제2동,1123061000,1123010500,31563,30027,29504,30291,29722,28970,30486,29486,28595,28055,27854,no,-1,-1
동대문구,장안제1동,1123065000,1123010600,37990,37591,38017,38812,39593,39212,39153,39287,38794,38677,38032,yes,장한평,0
동대문구,장안제2동,1123066000,1123010600,32682,32673,32289,31441,31447,31649,33045,33339,32791,32685,33020,yes,장한평,0
동대문구,회기동,1123071000,1123010800,12770,12627,12524,12587,12521,12868,13114,12663,12727,13536,13653,no,-1,-1
동대문구,휘경제1동,1123072000,1123010900,17352,17139,15501,14964,14589,14653,16508,15362,16105,16339,16179,yes,회기,0
동대문구,휘경제2동,1123073000,1123010900,26133,25735,25519,25467,25205,25147,25068,24992,24847,24666,25163,yes,회기,0
동대문구,이문제1동,1123074000,1123011000,33194,32201,32433,32045,31172,26940,22311,21205,20870,21366,21488,yes,신이문,0
동대문구,이문제2동,1123075000,1123011000,23225,22857,22888,22692,22454,22004,21174,20947,20417,20183,19935,yes,신이문,0
동대문구,청량리동,1123070500,1123010700,24821,24584,24019,23560,23063,22527,21808,20432,19280,19094,19347,no,-1,-1
동대문구,용신동,1123053600,1123010100,32856,32629,33210,33484,32957,31961,32144,32602,33055,36137,40088,yes,신설동,2
동대문구,제기동,1123054500,1123010300,28945,28883,28850,28551,27770,27576,27364,27017,26577,26484,25501,yes,제기동,0
중랑구,면목제2동,1126052000,1126010100,28235,27936,27560,27424,27057,26482,25942,25214,24405,24206,24001,yes,면목,0
중랑구,면목제4동,1126054000,1126010100,22236,21713,22345,21957,21098,20730,20052,19270,19308,18746,18490,yes,면목,0
중랑구,면목제5동,1126055000,1126010100,13911,13597,11607,10824,10487,10071,9825,14661,14897,14836,14740,yes,면목,0
중랑구,면목제7동,1126057000,1126010100,25362,24860,24004,23357,22707,22258,22200,22714,22070,21798,21557,yes,면목,0
중랑구,상봉제1동,1126058000,1126010200,26165,26746,26320,26152,25960,25619,25499,24912,24190,23714,23353,yes,망우,0
중랑구,상봉제2동,1126059000,1126010200,18605,18438,18629,19050,18645,19243,19844,20214,20647,20612,20760,yes,망우,0
중랑구,중화제1동,1126060000,1126010300,21566,21287,21283,21285,21179,21030,20916,20400,19784,19293,18908,yes,중랑,0
중랑구,중화제2동,1126061000,1126010300,30438,29665,29090,28578,28723,28660,27274,26073,25315,24926,24326,yes,중랑,0
중랑구,묵제1동,1126062000,1126010400,36370,35241,34885,34516,36269,36233,36016,35588,34636,34344,33935,yes,먹골,0
중랑구,묵제2동,1126063000,1126010400,20019,19563,19613,20250,20443,20355,19901,19672,18946,18624,18323,yes,먹골,0
중랑구,망우제3동,1126066000,1126010500,19207,18789,18415,18741,18757,18334,17941,17508,16698,16303,16078,yes,신내,2
중랑구,신내1동,1126068000,1126010600,33301,42203,42150,42023,41561,41264,40854,39831,38649,38205,37938,yes,봉화산,2
중랑구,신내2동,1126069000,1126010600,24878,24192,23913,23511,23018,22379,21905,21302,20529,20155,19774,yes,봉화산,2
중랑구,면목본동,1126056500,1126010100,37197,36584,36575,36839,36780,36558,36195,35424,34188,33856,33550,yes,면목,0
중랑구,면목제3.8동,1126057500,1126010100,29121,28695,28620,28137,27685,27139,26589,25995,25154,24617,24842,yes,면목,0
중랑구,망우본동,1126065500,1126010500,34626,33902,33611,33033,32411,31792,31071,30784,32469,35905,36895,yes,신내,2
성북구,돈암제1동,1129058000,1129010300,16374,16324,17222,17007,16745,16404,15921,15379,14791,14474,14376,yes,길음,0
성북구,돈암제2동,1129059000,1129010300,23797,23614,23722,23681,25269,25273,25028,24686,23913,23657,23547,yes,길음,0
성북구,안암동,1129060000,1129012100,18255,18114,18022,18211,17387,17260,17502,16580,16527,17118,17268,yes,안암,0
성북구,보문동,1129061000,1129012600,14285,15124,15018,15069,17260,17067,16653,16123,15766,16712,16575,yes,보문,2
성북구,정릉제1동,1129062000,1129010300,20191,19975,19372,19273,18901,18642,19455,18929,18377,18197,18015,yes,길음,0
성북구,정릉제2동,1129063000,1129010300,24182,23962,24644,24609,24495,24267,23834,23736,23268,22911,22815,yes,길음,0
성북구,정릉제3동,1129064000,1129013300,18371,17980,17801,17630,17366,17294,17233,16847,16210,16567,16628,no,-1,-1
성북구,정릉제4동,1129065000,1129013300,28050,27815,27893,27818,27423,27161,26792,25993,25322,24911,24516,no,-1,-1
성북구,길음제1동,1129066000,1129013400,37951,37987,38048,37908,37797,37829,37082,36568,35615,35000,34903,yes,월곡,0
성북구,길음제2동,1129068500,1129013400,20815,17404,16300,13173,12345,11767,16620,17167,16780,21728,21802,yes,월곡,0
성북구,월곡1동,2920060000,2920012800,29199,28822,28751,28450,28161,27854,27523,27108,26525,26169,25799,no,-1,-1
성북구,월곡2동,2920061000,2920012700,21611,21425,21483,21147,20823,20702,20509,20396,19896,19739,19531,no,-1,-1
성북구,장위제1동,1129076000,1129013800,25420,24380,23502,22573,21336,21228,20592,20449,24511,24082,23607,no,-1,-1
성북구,장위제2동,1129077000,1129013800,22150,21452,20950,20533,18517,15069,13972,14106,13953,13622,13362,no,-1,-1
성북구,장위제3동,1129078000,1129013800,18804,17534,14165,13226,12336,11689,17580,17359,15980,15868,15663,no,-1,-1
성북구,성북동,1129052500,1129010100,19316,18811,18536,18331,17996,17902,17584,17404,17026,16889,16503,no,-1,-1
성북구,삼선동,1129055500,1129010300,28551,28368,27936,27510,27082,26971,26013,24144,23413,23044,22824,yes,길음,0
성북구,동선동,1129057500,1129010300,16963,16727,16974,16770,16614,16386,16276,16246,16115,15870,15973,yes,길음,0
성북구,종암동,1129070500,1129013500,43664,43444,43496,43625,42926,42876,42068,41353,40325,40111,39766,yes,고려대,0
성북구,석관동,1129081000,1129013900,37398,36699,35725,35073,34628,34046,36507,36483,35829,35315,34695,yes,돌곶이,0
강북구,번1동,1130559500,1130510200,21013,20643,20541,20334,19912,19964,19614,19441,18717,18578,17963,no,-1,-1
강북구,번2동,1130560300,1130510200,19457,18927,18746,18407,17937,17504,17102,16544,15932,15397,14994,no,-1,-1
강북구,번3동,1130560800,1130510200,21018,20636,20235,19882,19314,18967,18251,17605,16905,16449,16420,no,-1,-1
강북구,수유1동,1130561500,1130510300,23300,23090,22927,22844,22471,22338,21841,21468,20849,20501,20200,yes,수유,0
강북구,수유2동,1130562500,1130510300,22965,22969,22644,22372,22512,22526,21939,21595,21421,21054,20697,yes,수유,0
강북구,수유3동,1130563500,1130510300,24295,23971,23953,24126,24223,24280,24064,23907,23393,23778,23954,yes,수유,0
